Site ID,Date/Time,Target 1 Result,Target 1 Concentration,Target 1,Target 1 Units,Target 1 Detection Limit,Sample ID
UK_SC_Site24,2021/8/30,presence,254938.7485,N1,gc/L,1316,UK_SC_Site24_S24
UK_SC_Site24,2021/9/6,presence,143341.3716,N1,gc/L,1316,UK_SC_Site24_S25
UK_SC_Site24,2021/9/15,presence,446588.0616,N1,gc/L,1316,UK_SC_Site24_S26
UK_SC_Site24,2021/9/29,presence,94953.83112,N1,gc/L,1316,UK_SC_Site24_S27
UK_SC_Site24,2021/10/18,presence,71331.44567,N1,gc/L,1316,UK_SC_Site24_S28
UK_SC_Site24,2021/10/27,presence,200253.8047,N1,gc/L,1316,UK_SC_Site24_S29
UK_SC_Site24,2021/11/5,presence,781473.092,N1,gc/L,1316,UK_SC_Site24_S30
UK_SC_Site24,2021/11/18,presence,199297.2926,N1,gc/L,1316,UK_SC_Site24_S31
UK_SC_Site24,2021/11/30,presence,42678.97693,N1,gc/L,1316,UK_SC_Site24_S32
UK_SC_Site24,2021/12/7,presence,117505.4893,N1,gc/L,1316,UK_SC_Site24_S33
UK_SC_Site24,2021/12/14,presence,30909.2603,N1,gc/L,1316,UK_SC_Site24_S34
UK_SC_Site24,2022/1/4,presence,226703.1063,N1,gc/L,1316,UK_SC_Site24_S35
UK_SC_Site24,2022/1/24,presence,66512.91062,N1,gc/L,1316,UK_SC_Site24_S36
UK_SC_Site24,2022/2/3,presence,64678.85533,N1,gc/L,1316,UK_SC_Site24_S37
UK_SC_Site24,2022/2/10,presence,130242.8467,N1,gc/L,1316,UK_SC_Site24_S38
UK_SC_Site24,2022/2/16,presence,19369.5,N1,gc/L,1316,UK_SC_Site24_S39
UK_SC_Site24,2022/2/23,presence,115798.8769,N1,gc/L,1316,UK_SC_Site24_S40
UK_SC_Site24,2022/3/9,presence,136009.5,N1,gc/L,1316,UK_SC_Site24_S41
UK_SC_Site24,2022/3/16,presence,92567,N1,gc/L,1316,UK_SC_Site24_S42
UK_SC_Site24,2022/3/23,presence,1670098.266,N1,gc/L,1316,UK_SC_Site24_S43
UK_SC_Site24,2022/4/4,presence,1092438.05,N1,gc/L,1316,UK_SC_Site24_S44
UK_SC_Site24,2022/4/11,presence,444740.3739,N1,gc/L,1316,UK_SC_Site24_S45
UK_SC_Site24,2022/4/20,presence,155596.0235,N1,gc/L,1316,UK_SC_Site24_S46
UK_SC_Site24,2022/4/25,presence,530673.0755,N1,gc/L,1316,UK_SC_Site24_S47
UK_SC_Site24,2022/5/3,presence,123871.599,N1,gc/L,1316,UK_SC_Site24_S48
UK_SC_Site24,2022/5/4,presence,578089.5,N1,gc/L,1316,UK_SC_Site24_S49
UK_SC_Site24,2022/5/10,presence,256788,N1,gc/L,1316,UK_SC_Site24_S50
UK_SC_Site24,2022/5/11,presence,202332.5,N1,gc/L,1316,UK_SC_Site24_S51
UK_SC_Site24,2022/5/17,presence,202023,N1,gc/L,1316,UK_SC_Site24_S52
UK_SC_Site24,2022/5/20,presence,113984.5,N1,gc/L,1316,UK_SC_Site24_S53
UK_SC_Site24,2022/5/24,presence,244332.5,N1,gc/L,1316,UK_SC_Site24_S54
UK_SC_Site24,2022/5/25,presence,60589.33966,N1,gc/L,1316,UK_SC_Site24_S55
UK_SC_Site24,2022/6/9,presence,104386.271,N1,gc/L,1316,UK_SC_Site24_S56
UK_SC_Site24,2022/6/14,presence,336899.5,N1,gc/L,1316,UK_SC_Site24_S57
UK_SC_Site24,2022/6/23,presence,601123,N1,gc/L,1316,UK_SC_Site24_S58
UK_SC_Site24,2022/6/24,presence,499214,N1,gc/L,1316,UK_SC_Site24_S59
UK_SC_Site24,2022/6/28,presence,226843.5,N1,gc/L,1316,UK_SC_Site24_S60
UK_SC_Site24,2022/7/1,presence,331224.9888,N1,gc/L,1316,UK_SC_Site24_S61
UK_SC_Site24,2022/7/8,presence,337038.8517,N1,gc/L,1316,UK_SC_Site24_S62
UK_SC_Site24,2022/7/12,presence,176791.4925,N1,gc/L,1316,UK_SC_Site24_S63
UK_SC_Site24,2022/7/13,presence,817959,N1,gc/L,1316,UK_SC_Site24_S64
UK_SC_Site24,2022/7/20,presence,300967.5,N1,gc/L,1316,UK_SC_Site24_S65
UK_SC_Site24,2022/7/21,presence,155126.5,N1,gc/L,1316,UK_SC_Site24_S66
UK_SC_Site24,2022/7/27,presence,77029.21959,N1,gc/L,1316,UK_SC_Site24_S67
UK_SC_Site24,2022/7/28,presence,183047.904,N1,gc/L,1316,UK_SC_Site24_S68
UK_SC_Site24,2022/8/1,presence,197813.5,N1,gc/L,1316,UK_SC_Site24_S69
UK_SC_Site24,2022/8/3,presence,175393.0224,N1,gc/L,1316,UK_SC_Site24_S70
UK_SC_Site24,2022/8/10,presence,96960.60959,N1,gc/L,1316,UK_SC_Site24_S71
UK_SC_Site24,2022/8/12,presence,145659.5,N1,gc/L,1316,UK_SC_Site24_S72
UK_SC_Site24,2022/8/17,presence,35069,N1,gc/L,1316,UK_SC_Site24_S73
UK_SC_Site24,2022/8/18,presence,155589,N1,gc/L,1316,UK_SC_Site24_S74
UK_SC_Site24,2022/8/22,presence,148677,N1,gc/L,1316,UK_SC_Site24_S75
UK_SC_Site24,2022/8/24,presence,336887,N1,gc/L,1316,UK_SC_Site24_S76
UK_SC_Site24,2022/8/31,presence,390643,N1,gc/L,1316,UK_SC_Site24_S77
UK_SC_Site24,2022/9/1,presence,82853.5,N1,gc/L,1316,UK_SC_Site24_S78
UK_SC_Site24,2022/9/6,presence,30538,N1,gc/L,1316,UK_SC_Site24_S79
UK_SC_Site24,2022/9/8,presence,141990,N1,gc/L,1316,UK_SC_Site24_S80
UK_SC_Site24,2022/9/14,presence,179209.704,N1,gc/L,1316,UK_SC_Site24_S81
UK_SC_Site24,2022/9/16,presence,262500.5,N1,gc/L,1316,UK_SC_Site24_S82
UK_SC_Site24,2022/9/29,presence,350978.8614,N1,gc/L,1316,UK_SC_Site24_S83
UK_SC_Site24,2022/9/30,presence,133541.5,N1,gc/L,1316,UK_SC_Site24_S84
UK_SC_Site24,2022/10/5,presence,85378.63801,N1,gc/L,1316,UK_SC_Site24_S85
UK_SC_Site24,2022/10/6,presence,658,N1,gc/L,1316,UK_SC_Site24_S86
UK_SC_Site24,2022/10/10,presence,99638.57233,N1,gc/L,1316,UK_SC_Site24_S87
UK_SC_Site24,2022/10/13,presence,104105.4247,N1,gc/L,1316,UK_SC_Site24_S88
UK_SC_Site24,2022/10/19,presence,45570.5,N1,gc/L,1316,UK_SC_Site24_S89
UK_SC_Site24,2022/10/20,presence,16900,N1,gc/L,1316,UK_SC_Site24_S90
UK_SC_Site24,2022/10/24,presence,24919.5,N1,gc/L,1316,UK_SC_Site24_S91
UK_SC_Site24,2022/10/28,presence,11275,N1,gc/L,1316,UK_SC_Site24_S92
UK_SC_Site24,2022/11/2,presence,158004,N1,gc/L,1316,UK_SC_Site24_S93
UK_SC_Site24,2022/11/4,presence,658,N1,gc/L,1316,UK_SC_Site24_S94
UK_SC_Site24,2022/11/7,presence,26791,N1,gc/L,1316,UK_SC_Site24_S95
UK_SC_Site24,2022/11/9,presence,9019,N1,gc/L,1316,UK_SC_Site24_S96
UK_SC_Site24,2022/11/16,presence,24015,N1,gc/L,1316,UK_SC_Site24_S97
UK_SC_Site24,2022/11/25,presence,17056,N1,gc/L,1316,UK_SC_Site24_S98
UK_SC_Site24,2022/11/30,presence,30544,N1,gc/L,1316,UK_SC_Site24_S99
UK_SC_Site24,2022/12/7,presence,53002.5,N1,gc/L,1316,UK_SC_Site24_S100
UK_SC_Site24,2022/12/12,presence,24208,N1,gc/L,1316,UK_SC_Site24_S101
UK_SC_Site24,2022/12/15,presence,242608,N1,gc/L,1316,UK_SC_Site24_S102
UK_SC_Site24,2023/1/6,presence,13861.5,N1,gc/L,1316,UK_SC_Site24_S103
UK_SC_Site24,2023/1/13,presence,58720,N1,gc/L,1316,UK_SC_Site24_S104
UK_SC_Site24,2023/1/25,presence,11936,N1,gc/L,1316,UK_SC_Site24_S105
UK_SC_Site24,2023/1/26,presence,47365.5,N1,gc/L,1316,UK_SC_Site24_S106
UK_SC_Site24,2023/1/30,presence,101386.5,N1,gc/L,1316,UK_SC_Site24_S107
UK_SC_Site24,2023/2/3,presence,27307,N1,gc/L,1316,UK_SC_Site24_S108
UK_SC_Site24,2023/2/8,presence,75194.5,N1,gc/L,1316,UK_SC_Site24_S109
UK_SC_Site24,2023/2/9,presence,67445.5,N1,gc/L,1316,UK_SC_Site24_S110
UK_SC_Site24,2023/2/17,presence,47199.5,N1,gc/L,1316,UK_SC_Site24_S111
UK_SC_Site24,2023/2/22,presence,94959.5,N1,gc/L,1316,UK_SC_Site24_S112
UK_SC_Site24,2023/2/24,presence,26261,N1,gc/L,1316,UK_SC_Site24_S113
UK_SC_Site24,2023/2/27,presence,41152,N1,gc/L,1316,UK_SC_Site24_S114
UK_SC_Site40,2021/2/18,presence,21820.27521,N1,gc/L,1316,UK_SC_Site40_S1
UK_SC_Site40,2021/2/24,presence,5230.926904,N1,gc/L,1316,UK_SC_Site40_S2
UK_SC_Site40,2021/2/25,presence,1732.158581,N1,gc/L,1316,UK_SC_Site40_S3
UK_SC_Site40,2021/3/3,presence,658,N1,gc/L,1316,UK_SC_Site40_S4
UK_SC_Site40,2021/3/4,presence,658,N1,gc/L,1316,UK_SC_Site40_S5
UK_SC_Site40,2021/3/9,presence,6807.365595,N1,gc/L,1316,UK_SC_Site40_S6
UK_SC_Site40,2021/3/10,presence,7456.564725,N1,gc/L,1316,UK_SC_Site40_S7
UK_SC_Site40,2021/3/16,presence,1807.408578,N1,gc/L,1316,UK_SC_Site40_S8
UK_SC_Site40,2021/3/17,presence,658,N1,gc/L,1316,UK_SC_Site40_S9
UK_SC_Site40,2021/3/25,absence,0,N1,gc/L,1316,UK_SC_Site40_S10
UK_SC_Site40,2021/3/26,absence,0,N1,gc/L,1316,UK_SC_Site40_S11
UK_SC_Site40,2021/3/31,presence,658,N1,gc/L,1316,UK_SC_Site40_S12
UK_SC_Site40,2021/4/1,absence,0,N1,gc/L,1316,UK_SC_Site40_S13
UK_SC_Site40,2021/4/9,absence,0,N1,gc/L,1316,UK_SC_Site40_S14
UK_SC_Site40,2021/4/14,absence,0,N1,gc/L,1316,UK_SC_Site40_S15
UK_SC_Site40,2021/4/15,absence,0,N1,gc/L,1316,UK_SC_Site40_S16
UK_SC_Site40,2021/4/27,absence,0,N1,gc/L,1316,UK_SC_Site40_S17
UK_SC_Site40,2021/4/28,presence,658,N1,gc/L,1316,UK_SC_Site40_S18
UK_SC_Site40,2021/5/6,presence,6060.936359,N1,gc/L,1316,UK_SC_Site40_S19
UK_SC_Site40,2021/5/7,presence,658,N1,gc/L,1316,UK_SC_Site40_S20
UK_SC_Site40,2021/5/12,absence,0,N1,gc/L,1316,UK_SC_Site40_S21
UK_SC_Site40,2021/5/14,absence,0,N1,gc/L,1316,UK_SC_Site40_S22
UK_SC_Site40,2021/5/18,absence,0,N1,gc/L,1316,UK_SC_Site40_S23
UK_SC_Site40,2021/5/19,absence,0,N1,gc/L,1316,UK_SC_Site40_S24
UK_SC_Site40,2021/5/25,absence,0,N1,gc/L,1316,UK_SC_Site40_S25
UK_SC_Site40,2021/5/26,presence,658,N1,gc/L,1316,UK_SC_Site40_S26
UK_SC_Site40,2021/6/3,presence,658,N1,gc/L,1316,UK_SC_Site40_S27
UK_SC_Site40,2021/6/4,absence,0,N1,gc/L,1316,UK_SC_Site40_S28
UK_SC_Site40,2021/6/9,presence,658,N1,gc/L,1316,UK_SC_Site40_S29
UK_SC_Site40,2021/6/10,presence,1344.03334,N1,gc/L,1316,UK_SC_Site40_S30
UK_SC_Site40,2021/6/15,presence,658,N1,gc/L,1316,UK_SC_Site40_S31
UK_SC_Site40,2021/6/16,absence,0,N1,gc/L,1316,UK_SC_Site40_S32
UK_SC_Site40,2021/6/23,presence,658,N1,gc/L,1316,UK_SC_Site40_S33
UK_SC_Site40,2021/6/24,presence,1881.252349,N1,gc/L,1316,UK_SC_Site40_S34
UK_SC_Site40,2021/6/29,presence,3103.862806,N1,gc/L,1316,UK_SC_Site40_S35
UK_SC_Site40,2021/7/7,presence,658,N1,gc/L,1316,UK_SC_Site40_S36
UK_SC_Site40,2021/7/8,presence,658,N1,gc/L,1316,UK_SC_Site40_S37
UK_SC_Site40,2021/7/13,presence,658,N1,gc/L,1316,UK_SC_Site40_S38
UK_SC_Site40,2021/7/21,presence,10355.74321,N1,gc/L,1316,UK_SC_Site40_S39
UK_SC_Site40,2021/7/28,presence,658,N1,gc/L,1316,UK_SC_Site40_S40
UK_SC_Site40,2021/7/29,absence,0,N1,gc/L,1316,UK_SC_Site40_S41
UK_SC_Site40,2021/8/3,presence,8713.64525,N1,gc/L,1316,UK_SC_Site40_S42
UK_SC_Site40,2021/8/4,presence,658,N1,gc/L,1316,UK_SC_Site40_S43
UK_SC_Site40,2021/8/10,absence,0,N1,gc/L,1316,UK_SC_Site40_S44
UK_SC_Site40,2021/8/11,absence,0,N1,gc/L,1316,UK_SC_Site40_S45
UK_SC_Site40,2021/8/18,presence,658,N1,gc/L,1316,UK_SC_Site40_S46
UK_SC_Site40,2021/8/19,presence,658,N1,gc/L,1316,UK_SC_Site40_S47
UK_SC_Site40,2021/8/25,presence,7121.995607,N1,gc/L,1316,UK_SC_Site40_S48
UK_SC_Site40,2021/8/26,presence,17144.03476,N1,gc/L,1316,UK_SC_Site40_S49
UK_SC_Site40,2021/9/1,presence,658,N1,gc/L,1316,UK_SC_Site40_S50
UK_SC_Site40,2021/9/2,presence,26857.48076,N1,gc/L,1316,UK_SC_Site40_S51
UK_SC_Site40,2021/9/8,presence,7740.684397,N1,gc/L,1316,UK_SC_Site40_S52
UK_SC_Site40,2021/9/9,presence,30986.66667,N1,gc/L,1316,UK_SC_Site40_S53
UK_SC_Site40,2021/9/16,presence,84398.35041,N1,gc/L,1316,UK_SC_Site40_S54
UK_SC_Site40,2021/9/30,presence,658,N1,gc/L,1316,UK_SC_Site40_S55
UK_SC_Site40,2021/10/6,presence,658,N1,gc/L,1316,UK_SC_Site40_S56
UK_SC_Site40,2021/10/21,presence,6887.584993,N1,gc/L,1316,UK_SC_Site40_S57
UK_SC_Site40,2021/10/22,presence,7097.829514,N1,gc/L,1316,UK_SC_Site40_S58
UK_SC_Site40,2021/10/29,presence,658,N1,gc/L,1316,UK_SC_Site40_S59
UK_SC_Site40,2021/11/3,presence,43963.9684,N1,gc/L,1316,UK_SC_Site40_S60
UK_SC_Site40,2021/11/4,presence,9281.227739,N1,gc/L,1316,UK_SC_Site40_S61
UK_SC_Site40,2021/11/11,presence,14045.09698,N1,gc/L,1316,UK_SC_Site40_S62
UK_SC_Site40,2021/11/12,presence,15430.5,N1,gc/L,1316,UK_SC_Site40_S63
UK_SC_Site40,2021/11/18,presence,658,N1,gc/L,1316,UK_SC_Site40_S64
UK_SC_Site40,2021/11/24,presence,129795.4613,N1,gc/L,1316,UK_SC_Site40_S65
UK_SC_Site40,2021/11/25,presence,243008.9694,N1,gc/L,1316,UK_SC_Site40_S66
UK_SC_Site40,2021/12/14,presence,27550.51089,N1,gc/L,1316,UK_SC_Site40_S67
UK_SC_Site40,2021/12/15,presence,40066.70761,N1,gc/L,1316,UK_SC_Site40_S68
UK_SC_Site40,2022/2/4,presence,8673.110703,N1,gc/L,1316,UK_SC_Site40_S69
UK_SC_Site40,2022/2/10,presence,12974.38113,N1,gc/L,1316,UK_SC_Site40_S70
UK_SC_Site40,2022/2/11,presence,7463.700578,N1,gc/L,1316,UK_SC_Site40_S71
UK_SC_Site40,2022/2/15,presence,27806.432,N1,gc/L,1316,UK_SC_Site40_S72
UK_SC_Site40,2022/2/22,presence,34145.83202,N1,gc/L,1316,UK_SC_Site40_S73
UK_SC_Site40,2022/2/24,presence,75795.75019,N1,gc/L,1316,UK_SC_Site40_S74
UK_SC_Site40,2022/11/11,presence,22834,N1,gc/L,1316,UK_SC_Site40_S75
UK_SC_Site40,2022/11/14,presence,24030.5,N1,gc/L,1316,UK_SC_Site40_S76
UK_SC_Site48,2021/2/19,presence,2898,N1,gc/L,1316,UK_SC_Site48_S1
UK_SC_Site48,2021/2/23,presence,1382.048459,N1,gc/L,1316,UK_SC_Site48_S2
UK_SC_Site48,2021/3/1,absence,0,N1,gc/L,1316,UK_SC_Site48_S3
UK_SC_Site48,2021/3/8,presence,2198.284687,N1,gc/L,1316,UK_SC_Site48_S4
UK_SC_Site48,2021/3/15,presence,658,N1,gc/L,1316,UK_SC_Site48_S5
UK_SC_Site48,2021/3/22,absence,0,N1,gc/L,1316,UK_SC_Site48_S6
UK_SC_Site48,2021/3/30,presence,658,N1,gc/L,1316,UK_SC_Site48_S7
UK_SC_Site48,2021/4/6,presence,4836.798539,N1,gc/L,1316,UK_SC_Site48_S8
UK_SC_Site48,2021/4/12,presence,3558.116493,N1,gc/L,1316,UK_SC_Site48_S9
UK_SC_Site48,2021/4/28,presence,3038.375908,N1,gc/L,1316,UK_SC_Site48_S10
UK_SC_Site48,2021/5/7,absence,0,N1,gc/L,1316,UK_SC_Site48_S11
UK_SC_Site48,2021/5/19,absence,0,N1,gc/L,1316,UK_SC_Site48_S12
UK_SC_Site48,2021/5/26,absence,0,N1,gc/L,1316,UK_SC_Site48_S13
UK_SC_Site48,2021/6/2,presence,2259.71269,N1,gc/L,1316,UK_SC_Site48_S14
UK_SC_Site48,2021/6/9,presence,3816.1143,N1,gc/L,1316,UK_SC_Site48_S15
UK_SC_Site48,2021/6/16,presence,8415.642354,N1,gc/L,1316,UK_SC_Site48_S16
UK_SC_Site48,2021/6/22,presence,2478.932169,N1,gc/L,1316,UK_SC_Site48_S17
UK_SC_Site48,2021/6/30,presence,45338.92358,N1,gc/L,1316,UK_SC_Site48_S18
UK_SC_Site48,2021/7/20,presence,130916.695,N1,gc/L,1316,UK_SC_Site48_S19
UK_SC_Site48,2021/7/27,presence,111650.5785,N1,gc/L,1316,UK_SC_Site48_S20
UK_SC_Site48,2021/8/16,absence,0,N1,gc/L,1316,UK_SC_Site48_S21
UK_SC_Site48,2021/9/8,presence,367662.8674,N1,gc/L,1316,UK_SC_Site48_S22
UK_SC_Site48,2021/9/13,presence,339667.0099,N1,gc/L,1316,UK_SC_Site48_S23
UK_SC_Site48,2021/9/20,presence,58743.22261,N1,gc/L,1316,UK_SC_Site48_S24
UK_SC_Site48,2021/9/27,presence,160044.1847,N1,gc/L,1316,UK_SC_Site48_S25
UK_SC_Site48,2021/10/21,presence,658,N1,gc/L,1316,UK_SC_Site48_S26
UK_SC_Site48,2021/10/27,presence,49714.57961,N1,gc/L,1316,UK_SC_Site48_S27
UK_SC_Site48,2021/11/1,presence,25241.65089,N1,gc/L,1316,UK_SC_Site48_S28
UK_SC_Site48,2021/11/12,presence,28045.58295,N1,gc/L,1316,UK_SC_Site48_S29
UK_SC_Site48,2021/11/15,presence,50265.04486,N1,gc/L,1316,UK_SC_Site48_S30
UK_SC_Site48,2021/11/22,presence,38972.67374,N1,gc/L,1316,UK_SC_Site48_S31
UK_SC_Site48,2021/12/6,presence,119519,N1,gc/L,1316,UK_SC_Site48_S32
UK_SC_Site48,2021/12/13,presence,60902.39997,N1,gc/L,1316,UK_SC_Site48_S33
UK_SC_Site48,2021/12/20,presence,57930.51603,N1,gc/L,1316,UK_SC_Site48_S34
UK_SC_Site48,2021/12/29,presence,195349.5925,N1,gc/L,1316,UK_SC_Site48_S35
UK_SC_Site48,2022/1/4,presence,62360.25106,N1,gc/L,1316,UK_SC_Site48_S36
UK_SC_Site48,2022/2/3,presence,43745.34576,N1,gc/L,1316,UK_SC_Site48_S37
UK_SC_Site48,2022/2/9,presence,24454.28682,N1,gc/L,1316,UK_SC_Site48_S38
UK_SC_Site48,2022/2/15,presence,41171.48823,N1,gc/L,1316,UK_SC_Site48_S39
UK_SC_Site48,2022/2/23,presence,13944.37359,N1,gc/L,1316,UK_SC_Site48_S40
UK_SC_Site48,2022/3/4,presence,70707.51177,N1,gc/L,1316,UK_SC_Site48_S41
UK_SC_Site48,2022/3/7,presence,66224.01621,N1,gc/L,1316,UK_SC_Site48_S42
UK_SC_Site48,2022/3/14,presence,76550.5,N1,gc/L,1316,UK_SC_Site48_S43
UK_SC_Site48,2022/4/5,presence,282516.9022,N1,gc/L,1316,UK_SC_Site48_S44
UK_SC_Site48,2022/4/12,presence,79846.5,N1,gc/L,1316,UK_SC_Site48_S45
UK_SC_Site48,2022/4/20,presence,71789.48766,N1,gc/L,1316,UK_SC_Site48_S46
UK_SC_Site48,2022/4/27,presence,122449,N1,gc/L,1316,UK_SC_Site48_S47
UK_SC_Site48,2022/5/5,presence,121492.5,N1,gc/L,1316,UK_SC_Site48_S48
UK_SC_Site48,2022/5/9,presence,251406.5,N1,gc/L,1316,UK_SC_Site48_S49
UK_SC_Site48,2022/5/16,presence,100201,N1,gc/L,1316,UK_SC_Site48_S50
UK_SC_Site48,2022/5/24,presence,71731,N1,gc/L,1316,UK_SC_Site48_S51
UK_SC_Site48,2022/6/7,presence,73106,N1,gc/L,1316,UK_SC_Site48_S52
UK_SC_Site48,2022/6/24,presence,132230.5,N1,gc/L,1316,UK_SC_Site48_S53
UK_SC_Site48,2022/6/29,presence,251097.3008,N1,gc/L,1316,UK_SC_Site48_S54
UK_SC_Site48,2022/7/13,presence,790378,N1,gc/L,1316,UK_SC_Site48_S55
UK_SC_Site48,2022/7/18,presence,268202.5,N1,gc/L,1316,UK_SC_Site48_S56
UK_SC_Site48,2022/7/28,presence,121934.3888,N1,gc/L,1316,UK_SC_Site48_S57
UK_SC_Site48,2022/8/5,presence,229412.0261,N1,gc/L,1316,UK_SC_Site48_S58
UK_SC_Site48,2022/8/9,presence,49347.87945,N1,gc/L,1316,UK_SC_Site48_S59
UK_SC_Site48,2022/8/16,presence,110624,N1,gc/L,1316,UK_SC_Site48_S60
UK_SC_Site48,2022/8/26,presence,84446.9878,N1,gc/L,1316,UK_SC_Site48_S61
UK_SC_Site48,2022/8/29,presence,42819.70805,N1,gc/L,1316,UK_SC_Site48_S62
UK_SC_Site48,2022/9/8,presence,8251.5,N1,gc/L,1316,UK_SC_Site48_S63
UK_SC_Site48,2022/9/13,presence,24875.1622,N1,gc/L,1316,UK_SC_Site48_S64
UK_SC_Site48,2022/9/27,presence,53251.46149,N1,gc/L,1316,UK_SC_Site48_S65
UK_SC_Site48,2022/10/3,presence,39287.5,N1,gc/L,1316,UK_SC_Site48_S66
UK_SC_Site48,2022/10/12,presence,85758.47011,N1,gc/L,1316,UK_SC_Site48_S67
UK_SC_Site48,2022/10/18,presence,52083,N1,gc/L,1316,UK_SC_Site48_S68
UK_SC_Site48,2022/10/25,presence,116843,N1,gc/L,1316,UK_SC_Site48_S69
UK_SC_Site48,2022/11/1,presence,23999.5,N1,gc/L,1316,UK_SC_Site48_S70
UK_SC_Site48,2022/11/14,presence,658,N1,gc/L,1316,UK_SC_Site48_S71
UK_SC_Site48,2022/11/23,presence,34506.5,N1,gc/L,1316,UK_SC_Site48_S72
UK_SC_Site48,2022/12/8,presence,26480,N1,gc/L,1316,UK_SC_Site48_S73
UK_SC_Site48,2022/12/13,presence,73168,N1,gc/L,1316,UK_SC_Site48_S74
UK_SC_Site48,2022/12/19,presence,98842.5,N1,gc/L,1316,UK_SC_Site48_S75
UK_SC_Site48,2023/1/11,presence,61029,N1,gc/L,1316,UK_SC_Site48_S76
UK_SC_Site48,2023/1/23,presence,12474.5,N1,gc/L,1316,UK_SC_Site48_S77
UK_SC_Site48,2023/2/1,presence,9109.5,N1,gc/L,1316,UK_SC_Site48_S78
UK_SC_Site48,2023/2/7,presence,57738.5,N1,gc/L,1316,UK_SC_Site48_S79
UK_SC_Site48,2023/2/14,presence,16293,N1,gc/L,1316,UK_SC_Site48_S80
UK_SC_Site48,2023/2/21,presence,53754.5,N1,gc/L,1316,UK_SC_Site48_S81
UK_SC_Site48,2023/2/28,presence,129637,N1,gc/L,1316,UK_SC_Site48_S82
UK_SC_Site66,2021/2/10,presence,13317.75838,N1,gc/L,1316,UK_SC_Site66_S1
UK_SC_Site66,2021/2/12,presence,24467.78617,N1,gc/L,1316,UK_SC_Site66_S2
UK_SC_Site66,2021/2/17,presence,20329.91353,N1,gc/L,1316,UK_SC_Site66_S3
UK_SC_Site66,2021/2/18,presence,30948.41805,N1,gc/L,1316,UK_SC_Site66_S4
UK_SC_Site66,2021/2/23,presence,5934.024574,N1,gc/L,1316,UK_SC_Site66_S5
UK_SC_Site66,2021/2/24,presence,6138.139099,N1,gc/L,1316,UK_SC_Site66_S6
UK_SC_Site66,2021/3/2,presence,33858.15315,N1,gc/L,1316,UK_SC_Site66_S7
UK_SC_Site66,2021/3/3,presence,35075.85628,N1,gc/L,1316,UK_SC_Site66_S8
UK_SC_Site66,2021/3/8,presence,29929.83209,N1,gc/L,1316,UK_SC_Site66_S9
UK_SC_Site66,2021/3/9,presence,17572.87617,N1,gc/L,1316,UK_SC_Site66_S10
UK_SC_Site66,2021/3/17,presence,658,N1,gc/L,1316,UK_SC_Site66_S11
UK_SC_Site66,2021/3/31,presence,1809.406862,N1,gc/L,1316,UK_SC_Site66_S12
UK_SC_Site66,2021/4/7,presence,18123.7281,N1,gc/L,1316,UK_SC_Site66_S13
